Q3,Q4,Q5,Q6,Q7
Quick Service Restaurant,Chain,Offering takeout/delivery,Yes,6
Quick Service Restaurant,Independent,Offering takeout/delivery,Yes,11
Quick Service Restaurant,Independent,Offering takeout/delivery,Yes,17
Quick Service Restaurant,Chain,Offering takeout/delivery,Yes,6
Quick Service Restaurant,Independent,Temporarily Closed,Yes,10
Quick Service Restaurant,Chain,Offering takeout/delivery,Yes,10
Quick Service Restaurant,Independent,Offering takeout/delivery,Yes,4
Quick Service Restaurant,Chain,Offering takeout/delivery,Yes,9
Quick Service Restaurant,Chain,Temporarily Closed,Yes,11
Quick Service Restaurant,Chain,Offering takeout/delivery,Yes,18
Quick Service Restaurant,Chain,Offering takeout/delivery,Yes,10
Quick Service Restaurant,Chain,Permanently Closed,N/A,NA
Quick Service Restaurant,Chain,Offering takeout/delivery,No,7
Quick Service Restaurant,Chain,Offering takeout/delivery,Yes,8
Quick Service Restaurant,Chain,Offering takeout/delivery,Yes,11
Quick Service Restaurant,Independent,Offering takeout/delivery,Yes,10
Quick Service Restaurant,Independent,Offering takeout/delivery,Yes,11
Quick Service Restaurant,Chain,Offering takeout/delivery,Yes,7
Quick Service Restaurant,Chain,Offering takeout/delivery,Yes,9
Quick Service Restaurant,Chain,Offering takeout/delivery,Yes,5
Quick Service Restaurant,Chain,Temporarily Closed,Yes,12
Quick Service Restaurant,Chain,Offering takeout/delivery,Yes,11
Quick Service Restaurant,Chain,Offering takeout/delivery,Yes,8
Quick Service Restaurant,Chain,Offering takeout/delivery,No,14
Quick Service Restaurant,Chain,Offering takeout/delivery,No,14
Quick Service Restaurant,Chain,Offering takeout/delivery,Yes,14
Quick Service Restaurant,Chain,Temporarily Closed,No,13
Quick Service Restaurant,Independent,Offering takeout/delivery,Yes,4
Quick Service Restaurant,Independent,Offering takeout/delivery,Yes,17
Quick Service Restaurant,Independent,Offering takeout/delivery,No,16
Quick Service Restaurant,Chain,Permanently Closed,N/A,NA
Quick Service Restaurant,Independent,Offering takeout/delivery,Yes,12
Quick Service Restaurant,Chain,Offering takeout/delivery,No,8
Quick Service Restaurant,Chain,Offering takeout/delivery,Yes,8
Quick Service Restaurant,Chain,Offering takeout/delivery,Yes,8
Quick Service Restaurant,Chain,Offering takeout/delivery,Yes,15
Quick Service Restaurant,Independent,Offering takeout/delivery,Yes,10
Quick Service Restaurant,Chain,Offering takeout/delivery,Yes,12
Quick Service Restaurant,Independent,Offering takeout/delivery,Yes,16
Quick Service Restaurant,Chain,Offering takeout/delivery,Yes,8
Quick Service Restaurant,Chain,Offering takeout/delivery,Yes,3
Quick Service Restaurant,Independent,Offering takeout/delivery,Yes,9
Quick Service Restaurant,Chain,Offering takeout/delivery,Yes,7
Quick Service Restaurant,Independent,Offering takeout/delivery,Yes,8
Quick Service Restaurant,Independent,Offering takeout/delivery,Yes,12
Quick Service Restaurant,Independent,Offering takeout/delivery,Yes,17
Quick Service Restaurant,Independent,Offering takeout/delivery,Yes,10
Quick Service Restaurant,Independent,Temporarily Closed,Yes,12
Quick Service Restaurant,Chain,Offering takeout/delivery,Yes,15
Quick Service Restaurant,Independent,Offering takeout/delivery,No,14
Quick Service Restaurant,Chain,Offering takeout/delivery,Yes,10
Quick Service Restaurant,Independent,Permanently Closed,N/A,NA
Quick Service Restaurant,Independent,Offering takeout/delivery,Yes,8
Quick Service Restaurant,Chain,Permanently Closed,N/A,NA
Quick Service Restaurant,Independent,Offering takeout/delivery,No,14
Quick Service Restaurant,Chain,Permanently Closed,N/A,NA
Quick Service Restaurant,Independent,Offering takeout/delivery,Yes,9
Quick Service Restaurant,Independent,Offering takeout/delivery,Yes,10
Quick Service Restaurant,Chain,Offering takeout/delivery,Yes,10
Quick Service Restaurant,Chain,Offering takeout/delivery,No,6
Quick Service Restaurant,Chain,Offering takeout/delivery,Yes,5
Quick Service Restaurant,Chain,Offering takeout/delivery,Yes,10
Quick Service Restaurant,Chain,Offering takeout/delivery,Yes,13
Quick Service Restaurant,Independent,Offering takeout/delivery,Yes,9
Quick Service Restaurant,Independent,Offering takeout/delivery,Yes,6
Quick Service Restaurant,Independent,Offering takeout/delivery,Yes,14
Quick Service Restaurant,Chain,Offering takeout/delivery,Yes,10
Quick Service Restaurant,Independent,Offering takeout/delivery,No,9
Quick Service Restaurant,Independent,Offering takeout/delivery,Yes,6
Quick Service Restaurant,Independent,Offering takeout/delivery,Yes,11
Quick Service Restaurant,Chain,Offering takeout/delivery,Yes,10
Quick Service Restaurant,Independent,Offering takeout/delivery,Yes,12
Quick Service Restaurant,Chain,Offering takeout/delivery,No,11
Quick Service Restaurant,Independent,Offering takeout/delivery,Yes,6
Quick Service Restaurant,Independent,Offering takeout/delivery,Yes,11
Quick Service Restaurant,Chain,Offering takeout/delivery,No,12
Quick Service Restaurant,Chain,Offering takeout/delivery,Yes,10
Quick Service Restaurant,Chain,Offering takeout/delivery,Yes,10
Quick Service Restaurant,Chain,Offering takeout/delivery,Yes,11
Quick Service Restaurant,Independent,Permanently Closed,N/A,NA
Quick Service Restaurant,Independent,Offering takeout/delivery,Yes,4
Quick Service Restaurant,Independent,Permanently Closed,N/A,NA
Quick Service Restaurant,Chain,Offering takeout/delivery,No,6
Quick Service Restaurant,Independent,Offering takeout/delivery,Yes,10
Quick Service Restaurant,Chain,Offering takeout/delivery,Yes,6
Quick Service Restaurant,Chain,Offering takeout/delivery,Yes,13
Quick Service Restaurant,Independent,Offering takeout/delivery,Yes,11
Quick Service Restaurant,Chain,Offering takeout/delivery,Yes,9
Quick Service Restaurant,Chain,Offering takeout/delivery,No,8
Quick Service Restaurant,Independent,Offering takeout/delivery,Yes,10
Quick Service Restaurant,Chain,Offering takeout/delivery,Yes,12
Quick Service Restaurant,Independent,Offering takeout/delivery,No,10
Quick Service Restaurant,Chain,Offering takeout/delivery,Yes,9
Quick Service Restaurant,Independent,Offering takeout/delivery,Yes,14
Quick Service Restaurant,Independent,Offering takeout/delivery,No,8
