type,Q1,Q2,Q3,Q4,Q5,Q6,Q7,category
Treated,QSR,Chain,Yes,No,Yes,No,Yes,QSR Chain
Treated,QSR,Chain,Yes,Yes,Yes,Yes,No,QSR Chain
Treated,QSR,Chain,Yes,Yes,Yes,No,No,QSR Chain
Treated,QSR,Chain,Yes,Yes,Yes,No,No,QSR Chain
Treated,QSR,Chain,No,Yes,Yes,Yes,Yes,QSR Chain
Treated,QSR,Chain,No,No,Yes,Yes,No,QSR Chain
Treated,QSR,Chain,Yes,Yes,Yes,Yes,No,QSR Chain
Treated,QSR,Chain,No,No,Yes,No,Yes,QSR Chain
Treated,QSR,Chain,No,Yes,Yes,Yes,No,QSR Chain
Treated,QSR,Chain,Yes,Yes,Yes,Yes,Yes,QSR Chain
Treated,QSR,Chain,Yes,No,Yes,No,No,QSR Chain
Treated,QSR,Chain,No,No,Yes,Yes,No,QSR Chain
Treated,QSR,Chain,Yes,No,No,No,No,QSR Chain
Treated,QSR,Chain,Yes,Yes,No,No,No,QSR Chain
Treated,QSR,Chain,No,Yes,No,Yes,Yes,QSR Chain
Treated,QSR,Chain,Yes,Yes,Yes,No,No,QSR Chain
Treated,QSR,Chain,Yes,No,Yes,Yes,Yes,QSR Chain
Treated,QSR,Chain,No,No,Yes,Yes,Yes,QSR Chain
Treated,QSR,Chain,Yes,Yes,Yes,Yes,Yes,QSR Chain
Treated,QSR,Chain,No,No,Yes,No,No,QSR Chain
Treated,QSR,Chain,No,Yes,Yes,Yes,No,QSR Chain
Treated,QSR,Chain,No,Yes,No,Yes,Yes,QSR Chain
Treated,QSR,Chain,Yes,Yes,Yes,Yes,Yes,QSR Chain
Treated,QSR,Chain,Yes,Yes,No,No,Yes,QSR Chain
Treated,QSR,Chain,Yes,No,Yes,Yes,No,QSR Chain
Treated,QSR,Chain,Yes,No,Yes,Yes,Yes,QSR Chain
Treated,QSR,Chain,Yes,No,Yes,Yes,No,QSR Chain
Treated,QSR,Chain,Yes,Yes,Yes,No,Yes,QSR Chain
Treated,QSR,Chain,No,Yes,Yes,Yes,Yes,QSR Chain
Treated,QSR,Chain,Yes,Yes,No,Yes,Yes,QSR Chain
Treated,QSR,Chain,Yes,No,No,Yes,No,QSR Chain
Treated,QSR,Chain,No,Yes,Yes,Yes,No,QSR Chain
Treated,QSR,Chain,No,Yes,Yes,No,No,QSR Chain
Treated,QSR,Chain,Yes,No,No,Yes,Yes,QSR Chain
Treated,QSR,Chain,Yes,Yes,Yes,Yes,Yes,QSR Chain
Treated,QSR,Chain,Yes,No,Yes,Yes,No,QSR Chain
Treated,QSR,Chain,Yes,No,Yes,Yes,No,QSR Chain
Treated,QSR,Chain,Yes,No,Yes,Yes,No,QSR Chain
Treated,QSR,Chain,No,Yes,Yes,No,No,QSR Chain
Treated,QSR,Chain,Yes,No,Yes,Yes,No,QSR Chain
Treated,QSR,Chain,No,Yes,Yes,Yes,Yes,QSR Chain
Treated,QSR,Chain,Yes,Yes,Yes,Yes,No,QSR Chain
Treated,QSR,Chain,No,No,Yes,Yes,Yes,QSR Chain
Treated,QSR,Chain,No,No,No,Yes,No,QSR Chain
Treated,QSR,Chain,Yes,Yes,Yes,No,No,QSR Chain
Treated,QSR,Chain,No,No,Yes,Yes,No,QSR Chain
Treated,QSR,Chain,Yes,No,Yes,Yes,Yes,QSR Chain
Treated,QSR,Chain,No,No,No,Yes,No,QSR Chain
Treated,QSR,Chain,No,No,Yes,Yes,No,QSR Chain
Treated,QSR,Chain,Yes,Yes,Yes,Yes,No,QSR Chain
Treated,QSR,Chain,Yes,No,Yes,No,Yes,QSR Chain
Treated,QSR,Chain,Yes,Yes,Yes,Yes,Yes,QSR Chain
Treated,QSR,Chain,No,Yes,Yes,Yes,Yes,QSR Chain
Treated,QSR,Chain,No,No,Yes,Yes,No,QSR Chain
Treated,QSR,Chain,Yes,Yes,Yes,Yes,Yes,QSR Chain
Treated,QSR,Chain,No,No,Yes,Yes,Yes,QSR Chain
Treated,QSR,Chain,Yes,No,No,Yes,Yes,QSR Chain
Treated,QSR,Chain,Yes,Yes,Yes,No,No,QSR Chain
Treated,QSR,Chain,No,Yes,Yes,Yes,Yes,QSR Chain
Treated,QSR,Chain,No,No,Yes,No,Yes,QSR Chain
Treated,QSR,Chain,Yes,No,Yes,Yes,No,QSR Chain
Treated,QSR,Chain,Yes,Yes,Yes,Yes,Yes,QSR Chain
Treated,QSR,Chain,Yes,Yes,Yes,Yes,No,QSR Chain
Treated,QSR,Chain,Yes,Yes,Yes,Yes,Yes,QSR Chain
Treated,QSR,Chain,Yes,No,Yes,Yes,Yes,QSR Chain
Treated,QSR,Chain,No,Yes,No,No,No,QSR Chain
Treated,QSR,Chain,Yes,Yes,Yes,Yes,No,QSR Chain
Treated,QSR,Chain,Yes,No,No,Yes,No,QSR Chain
Treated,QSR,Chain,Yes,No,No,Yes,No,QSR Chain
Treated,QSR,Chain,Yes,No,No,No,No,QSR Chain
Treated,QSR,Chain,No,Yes,Yes,Yes,No,QSR Chain
Treated,QSR,Chain,Yes,No,Yes,Yes,No,QSR Chain
Treated,QSR,Chain,No,Yes,Yes,No,Yes,QSR Chain
Treated,QSR,Chain,No,No,Yes,Yes,Yes,QSR Chain
Treated,QSR,Chain,Yes,Yes,Yes,No,No,QSR Chain
Treated,QSR,Chain,No,Yes,No,Yes,No,QSR Chain
Treated,QSR,Chain,Yes,Yes,Yes,Yes,No,QSR Chain
Treated,QSR,Chain,No,Yes,No,Yes,No,QSR Chain
Treated,QSR,Chain,No,Yes,Yes,Yes,No,QSR Chain
Treated,QSR,Chain,No,Yes,Yes,Yes,Yes,QSR Chain
Treated,QSR,Chain,Yes,Yes,Yes,Yes,No,QSR Chain
Treated,QSR,Chain,Yes,Yes,Yes,Yes,No,QSR Chain
Treated,QSR,Chain,Yes,Yes,Yes,Yes,No,QSR Chain
Treated,QSR,Chain,Yes,Yes,Yes,Yes,No,QSR Chain
Treated,QSR,Chain,Yes,No,Yes,No,Yes,QSR Chain
Treated,QSR,Chain,Yes,Yes,Yes,Yes,Yes,QSR Chain
Treated,QSR,Chain,Yes,Yes,No,No,Yes,QSR Chain
Treated,QSR,Chain,No,Yes,No,Yes,Yes,QSR Chain
Treated,QSR,Chain,No,No,Yes,Yes,Yes,QSR Chain
Treated,QSR,Chain,Yes,Yes,Yes,Yes,No,QSR Chain
Treated,QSR,Chain,Yes,Yes,Yes,No,No,QSR Chain
Treated,QSR,Chain,No,No,No,Yes,Yes,QSR Chain
Treated,QSR,Chain,Yes,Yes,Yes,Yes,No,QSR Chain
Treated,QSR,Chain,No,Yes,Yes,No,Yes,QSR Chain
Treated,QSR,Chain,No,Yes,Yes,Yes,Yes,QSR Chain
Treated,QSR,Chain,No,No,Yes,Yes,Yes,QSR Chain
Treated,QSR,Chain,Yes,No,Yes,Yes,No,QSR Chain
Treated,QSR,Chain,No,No,Yes,Yes,No,QSR Chain
Treated,QSR,Chain,Yes,No,Yes,Yes,Yes,QSR Chain
Treated,QSR,Chain,Yes,Yes,Yes,Yes,No,QSR Chain
Treated,QSR,Chain,No,Yes,Yes,No,Yes,QSR Chain
Treated,QSR,Chain,Yes,Yes,Yes,Yes,Yes,QSR Chain
Treated,QSR,Chain,Yes,No,No,No,Yes,QSR Chain
